id,name,emoji,unit,value2000,value2010,start,trendSSP1,trendSSP2,trendSSP3,lowerBetter,goodThreshold,badThreshold,voterWeight,desc
underweight,Undernutrition,🍚,million people,725,730,730,-33.333,-15,17.333,true,100,500,2.2,People with insufficient calorie and nutrient intake — hunger and underweight prevalence
obesity,Obesity,⚖️,million people,400,600,848,127,102.167,77.167,true,850,1400,1,People with excess calorie intake  —  obesity prevalence
premMort,Premature Mortality,💔,million/yr,220,240,279,-11.333,9.333,52.167,true,150,300,0.8,Premature deaths attributable to diet-related health risks
foodExpend,Food Expenditure,🛒,USD/person/yr,330,400,421,15,16,10.667,true,420,530,1.5,Average consumer food expenditure — proxy for food affordability and cost burden
afoluGHG,AFOLU GHG,🌫️,GtCO₂eq/yr,9,10,11.6,-0.8,-0.2,-0.067,true,0,5,0.7,Agriculture forestry and land-use greenhouse gas emissions — climate forcing from food system
globalWarm,Global Warming,🌡️,°C,0.76,0.9,1.24,0.128,0.135,0,true,1.5,1.7,1,Projected global mean surface temperature increase rel. to 1951-1980 — climate trajectory
nitrogen,Nitrogen Surplus,😷,Mt N/yr,200,220,239,0.833,9.667,18.333,true,180,240,0.4,"Reactive nitrogen surplus in croplands and from livestock — air, water, atmospheric and soil pollution"
waterViol,Water Flow Violations,💧,km³/yr,130,140,149,6.333,10,9.5,true,80,140,0.5,Volume of river flow below environmental minimum — freshwater ecosystem health
croplandBII,Cropland Landscapes,🌾,Biodiv. Intactness Index,72.5,71.5,70.51,-0.177,-0.152,-0.162,false,71,70,0.2,Biodiversity Intactness Index on cropland landscapes — landscapes with high cropping intensity
hotspotBII,Hotspot Landscapes,🦋,Biodiv. Intactness Index,92,91.75,91.53,-0.102,-0.107,-0.102,false,91.5,91,0.3,Biodiversity Intactness Index in biodiversity hotspot landscapes — most critical ecosystems
cropareaDiv,Croparea Diversity,🌈,Shannon index,2.23,2.18,2.15,-0.012,-0.02,-0.032,false,2.3,2,0.2,Shannon diversity index of harvested crop area — proxy for the diversity on croplands
bioeconomy,Bioeconomy,🌱,bn USD/yr,375,500,641,1.167,18.167,32.5,false,900,644,0.4,Value of bio-based products and services — contribution of agriculture beyond food
prodCosts,Production Costs,💸,bn USD/yr,2200,3000,3429,183.333,234.5,240.667,true,3800,5000,0.5,Global food production costs — efficiency and price pressure on supply chains
agEmploy,Agric. Employment,👷,million workers,1020,960,843,-92.167,-64.833,-16.333,false,550,300,1.5,Agricultural labour demand — rural livelihoods and structural employment transition
agWages,Agric. Wages,💵,USD/hour,0.75,1,1.46,0.742,0.425,0.208,false,6,2,0.5,Average agricultural wages — farm worker income relative to 2020 baseline
poverty,Poverty,👐 ,million people,3150,2500,2104,-311.167,-208.667,12.833,true,500,1000,2.5,People living below the international poverty line — impacted by food expenditures
